M4id,category,step,ground_truth,prediction,residual
Q11846,Demographic,1,0.4287,0.329,0.0997
Q11846,Demographic,2,0.5529,0.31,0.2429
Q11846,Demographic,3,0.5086,0.3132,0.1954
Q11846,Demographic,4,0.4866,0.2911,0.1956
Q11846,Demographic,5,0.5703,0.2531,0.3172
Q11846,Demographic,6,0.4584,0.2531,0.2054
Q11846,Demographic,7,0.4554,0.2563,0.1991
Q11846,Demographic,8,0.436,0.2499,0.1861
Q11974,Demographic,1,1.2324,1.0737,0.1587
Q11974,Demographic,2,1.2899,1.1367,0.1532
Q11974,Demographic,3,1.3092,1.1977,0.1115
Q11974,Demographic,4,1.263,1.2462,0.0169
Q11974,Demographic,5,1.2492,1.2956,-0.0464
Q11974,Demographic,6,1.3268,1.3372,-0.0104
Q11974,Demographic,7,0.9577,1.3818,-0.4241
Q11974,Demographic,8,0.9938,1.4225,-0.4287
Q12170,Demographic,1,0.1519,0.038,0.1139
Q12170,Demographic,2,0.1707,0.0928,0.0779
Q12170,Demographic,3,-0.0028,0.0591,-0.0618
Q12170,Demographic,4,0.1929,0.0506,0.1423
Q12170,Demographic,5,-0.0783,0.1013,-0.1796
Q12170,Demographic,6,0.2422,0.135,0.1072
Q12170,Demographic,7,-0.1113,0.1013,-0.2126
Q12170,Demographic,8,0.0188,0.0675,-0.0487
Q12673,Demographic,1,0.9824,1.0228,-0.0404
Q12673,Demographic,2,0.9361,1.041,-0.1049
Q12673,Demographic,3,0.9524,1.0552,-0.1028
Q12673,Demographic,4,0.9168,1.0613,-0.1445
Q12673,Demographic,5,0.8958,1.0613,-0.1655
Q12673,Demographic,6,0.936,1.0754,-0.1394
Q12673,Demographic,7,0.9637,1.0835,-0.1198
Q12673,Demographic,8,1.0146,1.0835,-0.0689
Q13050,Demographic,1,0.9135,0.9194,-0.006
Q13050,Demographic,2,0.9211,0.9194,0.0017
Q13050,Demographic,3,0.9228,0.9241,-0.0014
Q13050,Demographic,4,0.9379,0.9241,0.0138
Q13050,Demographic,5,0.9464,0.9241,0.0222
Q13050,Demographic,6,0.9596,0.9241,0.0355
Q13050,Demographic,7,0.9474,0.9288,0.0186
Q13050,Demographic,8,0.9683,0.9336,0.0348
Q18638,Finance,1,0.709,0.5166,0.1925
Q18638,Finance,2,0.8662,0.4889,0.3773
Q18638,Finance,3,0.6588,0.4782,0.1807
Q18638,Finance,4,0.6991,0.4566,0.2425
Q18638,Finance,5,0.8243,0.4443,0.38
Q18638,Finance,6,1.218,0.429,0.7891
Q18638,Finance,7,0.4681,0.4167,0.0514
Q18638,Finance,8,0.4612,0.4059,0.0553
Q20501,Finance,1,1.0332,1.014,0.0192
Q20501,Finance,2,1.0578,1.0307,0.0271
Q20501,Finance,3,1.0767,1.0474,0.0293
Q20501,Finance,4,1.096,1.0641,0.0319
Q20501,Finance,5,1.1215,1.0771,0.0444
Q20501,Finance,6,1.1512,1.0938,0.0574
Q20501,Finance,7,1.1791,1.1124,0.0667
Q20501,Finance,8,1.1974,1.1291,0.0683
Q19518,Finance,1,0.0262,0.0292,-0.003
Q19518,Finance,2,0.0351,0.0269,0.0081
Q19518,Finance,3,0.0376,0.0269,0.0106
Q19518,Finance,4,0.0405,0.0269,0.0136
Q19518,Finance,5,0.0429,0.0269,0.016
