M4id,category,rmse,time
Q11846,Demographic,0.213,0.7
Q11974,Demographic,0.231,0.54
Q12170,Demographic,0.13,0.53
Q12673,Demographic,0.117,0.57
Q13050,Demographic,0.021,3.84
Q18638,Finance,0.361,0.65
Q20501,Finance,0.047,0.59
Q19518,Finance,0.02,0.57
Q18530,Finance,0.171,0.56
Q22221,Finance,0.006,244.73
Q15208,Industry,0.045,0.95
Q16120,Industry,0.034,0.55
Q16176,Industry,0.213,0.54
Q14989,Industry,0.167,0.66
Q15697,Industry,0.023,3.48
Q1988,Macro,0.165,0.7
Q3770,Macro,0.232,0.56
Q4038,Macro,0.013,0.54
Q3957,Macro,0.008,0.56
Q5109,Macro,0.008,3.52
Q11298,Micro,0.121,0.5
Q9597,Micro,0.2,0.5
Q9516,Micro,0.062,0.5
Q9551,Micro,0.036,0.5
Q10414,Micro,0.035,3.5
Q23416,Other,0.037,0.77
Q23410,Other,0.047,0.75
Q23524,Other,0.054,0.84
Q23487,Other,0.021,0.55
Q23661,Other,0.011,3.54
