M4id,category,rmse,time
Q11846,Demographic,0.213,1.71
Q11974,Demographic,0.231,0.54
Q12170,Demographic,0.13,0.59
Q12673,Demographic,0.117,0.57
Q13050,Demographic,0.021,5.84
Q18638,Finance,0.361,0.62
Q20501,Finance,0.047,1.12
Q19518,Finance,0.02,0.73
Q18530,Finance,0.171,0.64
Q22221,Finance,0.006,5.42
Q15208,Industry,0.045,1.19
Q16120,Industry,0.034,0.65
Q16176,Industry,0.213,1.69
Q14989,Industry,0.167,0.87
Q15697,Industry,0.023,4.47
Q1988,Macro,0.165,0.88
Q3770,Macro,0.232,0.57
Q4038,Macro,0.013,0.53
Q3957,Macro,0.008,0.6
Q5109,Macro,0.008,3.44
Q11298,Micro,0.121,0.51
Q9597,Micro,0.2,0.49
Q9516,Micro,0.062,0.52
Q9551,Micro,0.036,0.51
Q10414,Micro,0.035,3.44
Q23416,Other,0.037,0.77
Q23410,Other,0.047,0.93
Q23524,Other,0.054,0.68
Q23487,Other,0.021,0.67
Q23661,Other,0.011,3.52
