M4id,category,step,ground_truth,prediction,residual
Q11846,Demographic,1,0.4287,0.3353,0.0933
Q11846,Demographic,2,0.5529,0.3353,0.2176
Q11846,Demographic,3,0.5086,0.31,0.1986
Q11846,Demographic,4,0.4866,0.2942,0.1924
Q11846,Demographic,5,0.5703,0.2594,0.3108
Q11846,Demographic,6,0.4584,0.2341,0.2243
Q11846,Demographic,7,0.4554,0.2056,0.2498
Q11846,Demographic,8,0.436,0.1867,0.2494
Q11974,Demographic,1,1.2324,1.0553,0.1771
Q11974,Demographic,2,1.2899,1.127,0.1629
Q11974,Demographic,3,1.3092,1.1938,0.1153
Q11974,Demographic,4,1.263,1.2452,0.0178
Q11974,Demographic,5,1.2492,1.2985,-0.0493
Q11974,Demographic,6,1.3268,1.3489,-0.0221
Q11974,Demographic,7,0.9577,1.3954,-0.4377
Q11974,Demographic,8,0.9938,1.4322,-0.4384
Q12170,Demographic,1,0.1519,0.0506,0.1013
Q12170,Demographic,2,0.1707,0.076,0.0947
Q12170,Demographic,3,-0.0028,0.0506,-0.0534
Q12170,Demographic,4,0.1929,0.1097,0.0832
Q12170,Demographic,5,-0.0783,0.1308,-0.2091
Q12170,Demographic,6,0.2422,0.1224,0.1198
Q12170,Demographic,7,-0.1113,0.076,-0.1873
Q12170,Demographic,8,0.0188,0.0675,-0.0487
Q12673,Demographic,1,0.9824,1.0127,-0.0303
Q12673,Demographic,2,0.9361,1.0309,-0.0948
Q12673,Demographic,3,0.9524,1.0289,-0.0765
Q12673,Demographic,4,0.9168,1.0289,-0.1121
Q12673,Demographic,5,0.8958,1.0248,-0.129
Q12673,Demographic,6,0.936,1.0289,-0.0928
Q12673,Demographic,7,0.9637,1.0329,-0.0692
Q12673,Demographic,8,1.0146,1.0106,0.004
Q13050,Demographic,1,0.9135,0.9194,-0.006
Q13050,Demographic,2,0.9211,0.9241,-0.003
Q13050,Demographic,3,0.9228,0.9241,-0.0014
Q13050,Demographic,4,0.9379,0.9288,0.009
Q13050,Demographic,5,0.9464,0.9336,0.0128
Q13050,Demographic,6,0.9596,0.9336,0.0261
Q13050,Demographic,7,0.9474,0.943,0.0044
Q13050,Demographic,8,0.9683,0.9571,0.0112
Q18638,Finance,1,0.709,0.535,0.174
Q18638,Finance,2,0.8662,0.5058,0.3604
Q18638,Finance,3,0.6588,0.4858,0.173
Q18638,Finance,4,0.6991,0.4597,0.2394
Q18638,Finance,5,0.8243,0.4582,0.3661
Q18638,Finance,6,1.218,0.4351,0.7829
Q18638,Finance,7,0.4681,0.4351,0.033
Q18638,Finance,8,0.4612,0.4151,0.046
Q20501,Finance,1,1.0332,1.0121,0.0211
Q20501,Finance,2,1.0578,1.0307,0.0271
Q20501,Finance,3,1.0767,1.0455,0.0312
Q20501,Finance,4,1.096,1.0622,0.0338
Q20501,Finance,5,1.1215,1.079,0.0426
Q20501,Finance,6,1.1512,1.0957,0.0555
Q20501,Finance,7,1.1791,1.1105,0.0686
Q20501,Finance,8,1.1974,1.1291,0.0683
Q19518,Finance,1,0.0262,0.0292,-0.003
Q19518,Finance,2,0.0351,0.0292,0.0059
Q19518,Finance,3,0.0376,0.0269,0.0106
Q19518,Finance,4,0.0405,0.0247,0.0158
Q19518,Finance,5,0.0429,0.018,0.025
Q19518,Finance,6,0.0522,0.0157,0.0365
Q19518,Finance,7,0.0534,0.0135,0.0399
Q19518,Finance,8,0.0547,0.0157,0.039
Q18530,Finance,1,1.0228,0.9924,0.0303
Q18530,Finance,2,1.061,1.0007,0.0603
Q18530,Finance,3,1.1367,1.0035,0.1332
Q18530,Finance,4,1.1562,1.0256,0.1306
Q18530,Finance,5,1.2158,1.0311,0.1847
Q18530,Finance,6,1.1542,1.0311,0.1231
Q18530,Finance,7,1.2364,1.0228,0.2136
Q18530,Finance,8,1.2715,1.0118,0.2598
Q22221,Finance,1,0.925,0.9253,-0.0003
Q22221,Finance,2,0.9106,0.9199,-0.0093
Q22221,Finance,3,0.9148,0.9199,-0.0051
Q22221,Finance,4,0.9193,0.9199,-0.0007
Q22221,Finance,5,0.9195,0.9145,0.005
Q22221,Finance,6,0.9205,0.9199,0.0006
Q22221,Finance,7,0.9281,0.9253,0.0028
Q22221,Finance,8,0.944,0.9253,0.0187
Q15208,Industry,1,0.9776,0.9812,-0.0036
Q15208,Industry,2,0.9969,0.9751,0.0219
Q15208,Industry,3,1.003,0.972,0.0309
Q15208,Industry,4,1.0008,0.9751,0.0257
Q15208,Industry,5,1.0168,0.9842,0.0326
Q15208,Industry,6,1.0477,0.972,0.0756
Q15208,Industry,7,1.0527,0.9812,0.0715
Q15208,Industry,8,1.0679,0.9873,0.0806
Q16120,Industry,1,1.0171,1.0066,0.0105
Q16120,Industry,2,1.0361,1.0195,0.0166
Q16120,Industry,3,1.0592,1.0195,0.0397
Q16120,Industry,4,1.0622,1.026,0.0363
Q16120,Industry,5,1.0622,1.0357,0.0266
Q16120,Industry,6,1.0552,1.0454,0.0098
Q16120,Industry,7,1.0522,1.0486,0.0036
Q16120,Industry,8,0.997,1.0551,-0.0581
Q16176,Industry,1,0.6409,0.5079,0.133
Q16176,Industry,2,1.2004,0.9862,0.2142
Q16176,Industry,3,0.4927,0.3661,0.1266
Q16176,Industry,4,0.6263,0.4518,0.1745
Q16176,Industry,5,0.7035,0.4429,0.2606
Q16176,Industry,6,1.382,0.9419,0.4401
Q16176,Industry,7,0.5282,0.3484,0.1798
Q16176,Industry,8,0.6367,0.4754,0.1614
Q14989,Industry,1,1.0414,1.009,0.0324
Q14989,Industry,2,0.8756,1.0362,-0.1606
Q14989,Industry,3,0.9145,1.054,-0.1395
Q14989,Industry,4,1.0097,1.0833,-0.0736
Q14989,Industry,5,1.0508,1.1022,-0.0514
Q14989,Industry,6,0.8935,1.1179,-0.2245
Q14989,Industry,7,0.9249,1.1336,-0.2087
Q14989,Industry,8,0.8681,1.1431,-0.2749
Q15697,Industry,1,0.8145,0.7978,0.0167
Q15697,Industry,2,0.8044,0.8084,-0.004
Q15697,Industry,3,0.8044,0.8136,-0.0092
Q15697,Industry,4,0.7978,0.8084,-0.0105
Q15697,Industry,5,0.7974,0.7978,-0.0004
Q15697,Industry,6,0.7777,0.8031,-0.0254
Q15697,Industry,7,0.8341,0.8084,0.0258
Q15697,Industry,8,0.79,0.8031,-0.0131
Q1988,Macro,1,0.4256,0.748,-0.3224
Q1988,Macro,2,0.5868,0.7154,-0.1286
Q1988,Macro,3,0.5287,0.7382,-0.2096
Q1988,Macro,4,0.5315,0.7284,-0.1969
Q1988,Macro,5,0.7751,0.7546,0.0205
Q1988,Macro,6,0.7952,0.7448,0.0504
Q1988,Macro,7,0.914,0.748,0.166
