M4id,category,rmse,time
Q11846,Demographic,0.225,0.61
Q11974,Demographic,0.239,0.52
Q12170,Demographic,0.125,0.55
Q12673,Demographic,0.085,0.56
Q13050,Demographic,0.012,3.74
Q18638,Finance,0.353,0.69
Q20501,Finance,0.047,0.54
Q19518,Finance,0.026,0.57
Q18530,Finance,0.159,0.54
Q22221,Finance,0.008,3.66
Q15208,Industry,0.051,0.72
Q16120,Industry,0.031,0.58
Q16176,Industry,0.232,0.55
Q14989,Industry,0.167,0.71
Q15697,Industry,0.016,3.61
Q1988,Macro,0.171,0.71
Q3770,Macro,0.22,0.58
Q4038,Macro,0.015,0.54
Q3957,Macro,0.004,0.58
Q5109,Macro,0.01,3.63
Q11298,Micro,0.127,0.52
Q9597,Micro,0.194,0.51
Q9516,Micro,0.085,0.5
Q9551,Micro,0.033,0.51
Q10414,Micro,0.034,3.65
Q23416,Other,0.028,0.77
Q23410,Other,0.068,0.77
Q23524,Other,0.054,0.58
Q23487,Other,0.043,0.57
Q23661,Other,0.011,4.16
