M4id,category,Chronos,time,Dec-transformer,Dec-time,TimeGpt
Q11846,Demographic,0.221,0.57,0.126,161.34,0.144
Q11974,Demographic,0.267,0.51,0.203,39.97,0.16
Q12170,Demographic,0.017,0.52,0.100,63.04,0.017
Q12673,Demographic,0.118,0.55,0.071,41.28,0.183
Q13050,Demographic,0.017,3.67,0.050,759.36,0.009
Q18638,Finance,0.449,0.68,0.119,113.74,0.317
Q20501,Finance,0.036,0.54,0.036,35.80,0.041
Q19518,Finance,0.179,0.55,0.127,114.78,0.086
Q18530,Finance,0.069,0.53,0.055,32.10,0.073
Q22221,Finance,0.009,3.55,0.016,231.66,0.007
Q15208,Industry,0.055,0.69,0.023,34.37,0.031
Q16120,Industry,0.026,0.95,0.035,49.61,0.025
Q16176,Industry,0.096,1.47,0.079,57.15,0.091
Q14989,Industry,0.187,0.82,0.073,60.84,0.213
Q15697,Industry,0.018,3.85,0.027,137.47,0.019
Q1988,Macro,0.164,0.7,0.182,136.28,0.177
Q3770,Macro,0.279,0.57,0.122,116.64,0.202
Q4038,Macro,0.007,0.55,0.016,42.02,0.011
Q3957,Macro,0.005,0.57,0.012,37.35,0.014
Q5109,Macro,0.009,3.52,0.052,806.61,0.026
Q11298,Micro,0.157,0.5,0.083,97.86,0.108
Q9597,Micro,0.21,0.5,0.127,100.62,0.231
Q9516,Micro,0.101,0.49,0.164,96.92,0.138
Q9551,Micro,0.056,0.5,0.041,68.89,0.021
Q10414,Micro,0.02,3.72,0.040,234.79,0.016
Q23416,Other,0.02,0.77,0.053,54.75,0.019
Q23410,Other,0.092,0.76,0.073,80.87,0.163
Q23524,Other,0.04,0.56,0.086,109.31,0.029
Q23487,Other,0.017,0.6,0.048,48.76,0.006
Q23661,Other,0.011,7.51,0.084,481.08,0.011
