id,category,train_rmse,test_rmse,train_time_s
Q11846,Demographic,0.130,0.126,161.34
Q11974,Demographic,0.091,0.203,39.97
Q12170,Demographic,0.110,0.100,63.04
Q12673,Demographic,0.068,0.071,41.28
Q13050,Demographic,0.060,0.050,759.36
Q18638,Finance,0.164,0.119,113.74
Q20501,Finance,0.039,0.036,35.80
Q19518,Finance,0.133,0.127,114.78
Q18530,Finance,0.043,0.055,32.10
Q22221,Finance,0.018,0.016,231.66
Q15208,Industry,0.022,0.023,34.37
Q16120,Industry,0.038,0.035,49.61
Q16176,Industry,0.084,0.079,57.15
Q14989,Industry,0.040,0.073,60.84
Q15697,Industry,0.028,0.027,137.47
Q1988,Macro,0.185,0.182,136.28
Q3770,Macro,0.109,0.122,116.64
Q4038,Macro,0.020,0.016,42.02
Q3957,Macro,0.014,0.012,37.35
Q5109,Macro,0.054,0.052,806.61
Q11298,Micro,0.085,0.083,97.86
Q9597,Micro,0.123,0.127,100.62
Q9516,Micro,0.182,0.164,96.92
Q9551,Micro,0.042,0.041,68.89
Q10414,Micro,0.041,0.040,234.79
Q23416,Other,0.056,0.053,54.75
Q23410,Other,0.053,0.073,80.87
Q23524,Other,0.085,0.086,109.31
Q23487,Other,0.057,0.048,48.76
Q23661,Other,0.088,0.084,481.08
