id,category,train_rmse,test_rmse,train_time_s
Q11846,Demographic,0.129,0.125,201.94
Q11974,Demographic,0.086,0.204,46.40
Q12170,Demographic,0.110,0.099,66.97
Q12673,Demographic,0.068,0.072,63.42
Q13050,Demographic,0.069,0.076,251.36
Q18638,Finance,0.129,0.122,108.22
Q20501,Finance,0.042,0.039,26.41
Q19518,Finance,0.127,0.121,108.46
Q18530,Finance,0.045,0.057,19.93
Q22221,Finance,0.019,0.016,144.28
Q15208,Industry,0.025,0.022,35.73
Q16120,Industry,0.047,0.036,40.79
Q16176,Industry,0.083,0.079,35.93
Q14989,Industry,0.038,0.073,46.13
Q15697,Industry,0.028,0.029,143.97
Q1988,Macro,0.193,0.187,142.46
Q3770,Macro,0.110,0.122,109.29
Q4038,Macro,0.019,0.015,44.64
Q3957,Macro,0.016,0.013,35.43
Q5109,Macro,0.070,0.056,636.65
Q11298,Micro,0.088,0.085,71.10
Q9597,Micro,0.113,0.118,94.56
Q9516,Micro,0.172,0.161,91.42
Q9551,Micro,0.049,0.054,18.82
Q10414,Micro,0.042,0.041,220.15
Q23416,Other,0.056,0.052,51.40
Q23410,Other,0.056,0.076,62.98
Q23524,Other,0.086,0.087,77.34
Q23487,Other,0.057,0.050,39.19
Q23661,Other,0.086,0.084,487.40
