M4id,category,step,ground_truth,prediction,residual
Q11846,Demographic,1,0.4287,0.3591,0.0696
Q11846,Demographic,2,0.5529,0.3458,0.2071
Q11846,Demographic,3,0.5086,0.3591,0.1495
Q11846,Demographic,4,0.4866,0.3506,0.136
Q11846,Demographic,5,0.5703,0.3478,0.2224
Q11846,Demographic,6,0.4584,0.35,0.1084
Q11846,Demographic,7,0.4554,0.3478,0.1076
Q11846,Demographic,8,0.436,0.3333,0.1027
Q11974,Demographic,1,1.2324,1.0287,0.2036
Q11974,Demographic,2,1.2899,1.0411,0.2488
Q11974,Demographic,3,1.3092,1.0577,0.2515
Q11974,Demographic,4,1.263,1.0739,0.1892
Q11974,Demographic,5,1.2492,1.065,0.1842
Q11974,Demographic,6,1.3268,1.0856,0.2412
Q11974,Demographic,7,0.9577,1.0668,-0.1092
Q11974,Demographic,8,0.9938,1.0987,-0.1049
Q12170,Demographic,1,0.1519,0.0666,0.0853
Q12170,Demographic,2,0.1707,0.0903,0.0804
Q12170,Demographic,3,-0.0028,0.0188,-0.0215
Q12170,Demographic,4,0.1929,0.0557,0.1372
Q12170,Demographic,5,-0.0783,0.0649,-0.1432
Q12170,Demographic,6,0.2422,0.0664,0.1758
Q12170,Demographic,7,-0.1113,0.0418,-0.1531
Q12170,Demographic,8,0.0188,0.0454,-0.0265
Q12673,Demographic,1,0.9824,1.0341,-0.0517
Q12673,Demographic,2,0.9361,1.0582,-0.122
Q12673,Demographic,3,0.9524,1.0813,-0.129
Q12673,Demographic,4,0.9168,1.1188,-0.202
Q12673,Demographic,5,0.8958,1.1338,-0.238
Q12673,Demographic,6,0.936,1.1642,-0.2281
Q12673,Demographic,7,0.9637,1.1905,-0.2267
Q12673,Demographic,8,1.0146,1.218,-0.2034
Q13050,Demographic,1,0.9135,0.9202,-0.0067
Q13050,Demographic,2,0.9211,0.9247,-0.0036
Q13050,Demographic,3,0.9228,0.9281,-0.0053
Q13050,Demographic,4,0.9379,0.9302,0.0076
Q13050,Demographic,5,0.9464,0.9371,0.0093
Q13050,Demographic,6,0.9596,0.9349,0.0247
Q13050,Demographic,7,0.9474,0.9402,0.0072
Q13050,Demographic,8,0.9683,0.9412,0.0271
Q18638,Finance,1,0.709,0.6138,0.0953
Q18638,Finance,2,0.8662,0.6575,0.2087
Q18638,Finance,3,0.6588,0.5967,0.0622
Q18638,Finance,4,0.6991,0.6382,0.0609
Q18638,Finance,5,0.8243,0.6228,0.2015
Q18638,Finance,6,1.218,0.6286,0.5894
Q18638,Finance,7,0.4681,0.5814,-0.1133
Q18638,Finance,8,0.4612,0.584,-0.1228
Q20501,Finance,1,1.0332,1.0245,0.0087
Q20501,Finance,2,1.0578,1.0377,0.0201
Q20501,Finance,3,1.0767,1.0509,0.0258
Q20501,Finance,4,1.096,1.0632,0.0328
Q20501,Finance,5,1.1215,1.0765,0.0451
Q20501,Finance,6,1.1512,1.0943,0.057
Q20501,Finance,7,1.1791,1.1098,0.0694
Q20501,Finance,8,1.1974,1.1245,0.0728
Q19518,Finance,1,0.0262,0.0319,-0.0057
Q19518,Finance,2,0.0351,0.0332,0.0019
Q19518,Finance,3,0.0376,0.0354,0.0022
Q19518,Finance,4,0.0405,0.0364,0.0041
Q19518,Finance,5,0.0429,0.0377,0.0052
Q19518,Finance,6,0.0522,0.034,0.0183
Q19518,Finance,7,0.0534,0.0361,0.0173
Q19518,Finance,8,0.0547,0.0372,0.0176
Q18530,Finance,1,1.0228,1.0107,0.0121
Q18530,Finance,2,1.061,1.0128,0.0482
Q18530,Finance,3,1.1367,1.0203,0.1164
Q18530,Finance,4,1.1562,1.0298,0.1264
Q18530,Finance,5,1.2158,1.0346,0.1812
Q18530,Finance,6,1.1542,1.027,0.1272
Q18530,Finance,7,1.2364,1.0337,0.2028
Q18530,Finance,8,1.2715,1.0488,0.2228
Q22221,Finance,1,0.925,0.9271,-0.0021
Q22221,Finance,2,0.9106,0.9268,-0.0162
Q22221,Finance,3,0.9148,0.9285,-0.0137
Q22221,Finance,4,0.9193,0.9262,-0.0069
Q22221,Finance,5,0.9195,0.9252,-0.0058
Q22221,Finance,6,0.9205,0.9242,-0.0037
Q22221,Finance,7,0.9281,0.9275,0.0006
Q22221,Finance,8,0.944,0.9316,0.0124
Q15208,Industry,1,0.9776,0.9815,-0.0039
Q15208,Industry,2,0.9969,0.987,0.0099
Q15208,Industry,3,1.003,0.9879,0.015
Q15208,Industry,4,1.0008,0.994,0.0068
Q15208,Industry,5,1.0168,0.9969,0.0199
Q15208,Industry,6,1.0477,1.0003,0.0473
Q15208,Industry,7,1.0527,1.0005,0.0522
Q15208,Industry,8,1.0679,1.0013,0.0666
Q16120,Industry,1,1.0171,1.014,0.003
Q16120,Industry,2,1.0361,1.0235,0.0127
Q16120,Industry,3,1.0592,1.0338,0.0255
Q16120,Industry,4,1.0622,1.0425,0.0198
