M4id,category,nrmse,time
Q11846,Demographic,0.144,0.07
Q11974,Demographic,0.16,0.07
Q12170,Demographic,0.017,0.07
Q12673,Demographic,0.183,0.07
Q13050,Demographic,0.009,0.07
Q18638,Finance,0.317,0.07
Q20501,Finance,0.041,0.07
Q19518,Finance,0.086,0.07
Q18530,Finance,0.073,0.07
Q22221,Finance,0.007,0.07
Q15208,Industry,0.031,0.07
Q16120,Industry,0.025,0.07
Q16176,Industry,0.091,0.07
Q14989,Industry,0.213,0.07
Q15697,Industry,0.019,0.07
Q1988,Macro,0.177,0.07
Q3770,Macro,0.202,0.07
Q4038,Macro,0.011,0.07
Q3957,Macro,0.014,0.07
Q5109,Macro,0.026,0.07
Q11298,Micro,0.108,0.07
Q9597,Micro,0.231,0.07
Q9516,Micro,0.138,0.07
Q9551,Micro,0.021,0.07
Q10414,Micro,0.016,0.07
Q23416,Other,0.019,0.07
Q23410,Other,0.163,0.07
Q23524,Other,0.029,0.07
Q23487,Other,0.006,0.07
Q23661,Other,0.011,0.07
